,0
date,2021
date,2021
아이,756.0400000000001
학생,635.46
교육,619.3400000000001
학교,592.25
교사,586.41
폐지,558.49
청소년,531.82
어린이집,525.6700000000001
유치원,513.47
생각,413.46
시간,391.07
대학,383.77000000000004
수능,364.27000000000004
부모,354.40999999999997
선생,349.41999999999996
사람,320.35
시험,312.79999999999995
문제,307.63
보육,300.22
처벌,299.78000000000003
공부,295.72999999999996
우리,294.5
보호법,293.84000000000003
지원,291.97
수업,284.31000000000006
영어,281.41
저희,273.61
학원,271.41
정책,271.25
제도,271.15999999999997
평가,264.1
나라,253.88999999999996
국민,252.77
청원,250.23000000000002
소년법,247.74
학년,243.26000000000002
출산,241.68
국가,238.48000000000002
엄마,235.19
필요,232.51
부탁,231.54000000000002
사회,231.45999999999998
수시,229.95000000000002
때문,227.41
초등학교,223.74
학부모,223.23999999999998
고등학교,222.98000000000002
사건,221.10000000000002
정부,216.23000000000002
사립,214.56
가정,214.53000000000003
대통령,212.78
대한민국,211.51
정시,210.61
폭력,208.28
자녀,201.34
교육부,197.63000000000002
청소년법,197.19
경우,195.78
교복,194.03000000000003
원장,192.94
반대,192.65
이유,191.6
상황,189.9
현실,189.25
이상,188.9
사교육,185.67000000000002
입시,185.53
방학,179.22000000000003
우리나라,177.24
조사,175.46
마음,173.23999999999998
의무,172.48000000000002
운영,172.06
미래,170.98
이것,168.39
육아,167.01999999999998
아동,167.01
누구,167.0
비리,165.41
요즘,164.26
근무,158.43
자신,158.35000000000002
중학교,158.32
보호,157.8
안녕,157.45
안전,156.89000000000001
범죄,156.07
공정,155.56
연기,155.14000000000001
과정,153.23
크림,152.9
감사,151.51000000000002
사용,151.34000000000003
친구,148.76000000000002
아기,148.32999999999998
학대,148.21
지역,147.36
폭행,147.36
입학,146.26000000000002
관련,145.43
가해자,145.39999999999998
개선,145.3
혜택,144.54
생활,143.92000000000002
그것,142.93000000000004
이번,142.82
교원,142.52
피해자,142.48
지금,141.67000000000002
정도,140.76
활동,139.92000000000002
가능,139.26999999999998
기준,139.06
확대,138.09
준비,137.37
